"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGB7",-0.721828573404017,6.73288580928802,-2.51009150439075,0.0182985920217129,0.158203575116857,-3.53602660301467
"MBD3L2",-0.790740553206221,3.02516114539791,-2.50987137350277,0.018307811693572,0.158217716466983,-3.53647597647658
"LOC100288656",-1.41146704095565,6.29359152842414,-2.50952433456422,0.0183223553300163,0.15827783722352,-3.53718437005514
"CASP2",0.296181913519797,10.2384353740588,2.5091504083397,0.0183380376969516,0.158347741073595,-3.53794758023728
"UBE3C",0.283102458411117,9.72509296761925,2.50869915183608,0.0183569797845545,0.158445722906651,-3.53886853435607
"SCGN",-1.07577282506076,5.07921258751439,-2.50831865061218,0.0183729658679341,0.15851811990771,-3.53964500761725
"SKA3",-0.635691487990558,6.3444974121631,-2.50801409677552,0.0183857704201625,0.158552064963626,-3.5402664461959
"MOB3B",-0.540992146584002,8.04628361406709,-2.50786361328114,0.0183921003361123,0.158552064963626,-3.54057348896799
"ADRB3",-1.3077011302947,4.88406799812077,-2.50730131428148,0.0184157706158872,0.158678165441111,-3.54172068998249
"REEP1",-0.623781714396459,11.3745485287781,-2.50715486219783,0.0184219402117904,0.158678165441111,-3.54201945529373
"LDAF1",0.493867948828331,8.27111231522033,2.5062961443079,0.0184581538993237,0.158924476536398,-3.54377104259309
"MED29",0.218805956773899,9.84765915983087,2.50414294453217,0.018549247510676,0.159577153183075,-3.54816145825856
"HTR1D",-0.932610907172,3.29699208989533,-2.50414272420489,0.0185492568530801,0.159577153183075,-3.54816190739173
"TLCD2",0.360275417413058,9.82393560342047,2.50373113082561,0.0185667169842854,0.159630060699292,-3.54900089069711
"MAP3K20-AS1",-1.48552664797711,2.48839926954392,-2.50331099340175,0.0185845552101006,0.159630060699292,-3.5498572027478
"RCAN2",0.529683237228134,7.24623154469892,2.50326353624303,0.0185865711439737,0.159630060699292,-3.54995392302601
"PUM1",0.23267490122111,12.4477886647862,2.50309688827514,0.0185936517866943,0.159630060699292,-3.55029355176307
"IFNAR2",-0.289021078668686,10.2569949376765,-2.5030887728043,0.0185939966654613,0.159630060699292,-3.55031009074707
"C20orf141",-0.614082750953926,4.19323950106413,-2.50281796698003,0.0186055083410729,0.159630060699292,-3.55086196261699
"SLCO4C1",0.608901237489698,9.13566591518447,2.5027365912502,0.0186089688246898,0.159630060699292,-3.55102779005973
"IFFO1",-0.586135627812351,7.37775110254084,-2.50226954946355,0.0186288411604128,0.159734847631949,-3.5519794637031
"PIGH",0.311240478760794,9.36645678179252,2.50198338105751,0.0186410271249738,0.159773667987348,-3.552562524535
"TRPV5",-0.912097000389892,5.49435506531955,-2.50136314529408,0.0186674640080063,0.159877771927677,-3.55382609856534
"STK32B",-0.820275842501911,3.19322288633547,-2.50122764272487,0.0186732442642899,0.159877771927677,-3.55410212529268
"MED28",0.338873202936885,10.3223570038868,2.50112366111909,0.0186776810225502,0.159877771927677,-3.55431393573114
"SCP2D1",-0.99166584222973,4.0848690053273,-2.50097964904258,0.0186838274355133,0.159877771927677,-3.55460727927177
"STARD3NL",0.349605855905576,11.1095468135544,2.50039392138398,0.0187088454456939,0.160026213074238,-3.55580026276202
"ADAMTSL2",-0.561612830228035,3.13924873709462,-2.50018617081766,0.018717726459973,0.160036561232769,-3.55622335844214
"C15orf61",0.272315988198734,9.77469615687772,2.49984745892677,0.0187322142121806,0.160065420171357,-3.55691311789288
"SDHAF2",-0.359302524781187,10.0610712708853,-2.49974854683131,0.0187364469398166,0.160065420171357,-3.55711453356668
"CCR4",-1.10905615163193,3.99284584223538,-2.49939693827067,0.0187515004099584,0.160109749864009,-3.55783047789499
"ANK2",-0.659267260008369,6.71109258977101,-2.499268889254,0.0187569853641855,0.160109749864009,-3.55809119555666
"ARHGAP17",0.472454776468238,9.38516047818388,2.49902207001783,0.0187675619955722,0.16012451937567,-3.55859371537176
"NUPR1",-0.415503130035567,11.8786119779143,-2.49863670577928,0.0187840865270381,0.16012451937567,-3.55937824948614
"RTF1",0.241468976444731,10.1374729803143,2.49844058644786,0.0187925013364979,0.16012451937567,-3.5597774855483
"ZNF876P",-1.30825791255591,3.86627727500756,-2.49842401069075,0.018793212704948,0.16012451937567,-3.55981122759087
"CPSF4",0.398852227540303,8.95577566481284,2.4983336121915,0.0187970927020907,0.16012451937567,-3.55999524270672
"GUSB",-0.244982466917614,11.4745018001031,-2.49799646525196,0.0188115699190302,0.160182437408493,-3.56068150265365
"VSIG1",-1.39028380924541,4.80903951547497,-2.49774679396011,0.0188222975298108,0.160208392928157,-3.5611896699045
"AVPI1",0.493550672293747,9.69665065041165,2.49754748296921,0.0188308653648948,0.160214955853421,-3.56159531414091
"TNFSF14",-0.73622745258991,6.38153886805575,-2.4973716231962,0.0188384280849604,0.160214955853421,-3.56195321316066
